video_title,author,comment_text
I bought the CHEAPEST Tech in India!,@liderabu7016,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=754"">12:34</a>  this airpods 8$ UZBEKISTAN🤑"
I bought the CHEAPEST Tech in India!,@kataomoiwazurai,not the air force jordan dunks
I bought the CHEAPEST Tech in India!,@neeraj9872296772,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=442"">7:22</a> , Wrong map of Bharat. Reported you. Not Done."
I bought the CHEAPEST Tech in India!,@drrajkumarbaranwal9715,Me
I bought the CHEAPEST Tech in India!,@Mr_manan_vlogs786,Plz come to Pakistan
I bought the CHEAPEST Tech in India!,@vedanshverma4519,what iis his name
I bought the CHEAPEST Tech in India!,@RuhulAmin-xc8uy,Bro please don&#39;t use wrong map of our country.
I bought the CHEAPEST Tech in India!,@smashcars-tg7ys,"meee<a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/UvgfY_vqE92T29sPvqiAkAU""></a>"
I bought the CHEAPEST Tech in India!,@arjunmadhavbhatia7656,The backpack reminds me of the cyber truck
I bought the CHEAPEST Tech in India!,@Thomasbgmi,60dollar for a copy shoe??😭
I bought the CHEAPEST Tech in India!,@nikhilmahajan6489,Sadest part is….that you don’t know how to use roti maker🥲🥲
I bought the CHEAPEST Tech in India!,@tayyabanaveed6544,Come to Pakistan next time 🇵🇰🇵🇰🇵🇰🇵🇰😊😊
I bought the CHEAPEST Tech in India!,@tegbeer16,Bro murdered that roti 💀
I bought the CHEAPEST Tech in India!,@TheJoveenPrashar,Me#$
I bought the CHEAPEST Tech in India!,@GRIDIRONGURU2,"At <a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=661"">11:01</a> you can see mr bean dancing in the background"
I bought the CHEAPEST Tech in India!,@TheWebcrafter,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1831"">30:31</a> - TYPO = BATTERLY"
I bought the CHEAPEST Tech in India!,@BlacksmithRohit,That is why Indians are happy 😉
I bought the CHEAPEST Tech in India!,@MyTravelVideos8301,I think a fake Apple Watch is better because it will motivate you to work out more.
I bought the CHEAPEST Tech in India!,@yysheldon,Bro that Roti was raw man 😅😅😅
I bought the CHEAPEST Tech in India!,@96parmeet,I hope he knows that all of these are imported from China
I bought the CHEAPEST Tech in India!,@PJO101-TC,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1261"">21:01</a>  the logo😂😂😂 Real Apple Watch versus Fake Apple (pear 🍐) watch"
I bought the CHEAPEST Tech in India!,@PJO101-TC,"Mr Bean!!! <a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=835"">13:55</a>"
I bought the CHEAPEST Tech in India!,@itsatif464,How many products is sponsored by this video 💀....!!
I bought the CHEAPEST Tech in India!,@subhashchenedekar9078,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=440"">7:20</a> wrong map"
I bought the CHEAPEST Tech in India!,@linusx9051,"Unpopular opinion: I think he&#39;s just making Indians feel good. The west has better systems than UPI, and that&#39;s tapping with phone, smart ring etc. Much faster, and needs no internet. Blinkit &amp; UC are prohibitively expensive in western countries due to high cost of labor."
I bought the CHEAPEST Tech in India!,@epariyashvi3087,Boat got roasted in 1000 ways 😂😂😂
I bought the CHEAPEST Tech in India!,@altamashhhhhhhh,Cheap Chinese products
I bought the CHEAPEST Tech in India!,@BalaRaju-lb8bf,Your native is Chennai only know? Then pls come to tamilnadu
I bought the CHEAPEST Tech in India!,@raghavchemtech1831,I am
I bought the CHEAPEST Tech in India!,@_Ashish_Raghuvanshi_,"Correct The Map Of India🇮🇳 <a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=440"">7:20</a> warm request 🙏🚩"
I bought the CHEAPEST Tech in India!,@lalithakumarithota4135,We need Part 2
I bought the CHEAPEST Tech in India!,@athomesuperhero,Can I have that backpack? That is sick
I bought the CHEAPEST Tech in India!,@rohanchandthakur1320,Most of these products are made in China 😂
I bought the CHEAPEST Tech in India!,@Gaming_Hub2834,no way bro had roti alone
I bought the CHEAPEST Tech in India!,@avinashkanekar3808,@TechnicalGuruji I Found New Youtuber!!!!!!
I bought the CHEAPEST Tech in India!,@eeliahbland9379,Bros back to his home
I bought the CHEAPEST Tech in India!,@231bharat,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=440"">7:20</a> bhai ne galat map dikhaya"
I bought the CHEAPEST Tech in India!,@eossoon,those nikes are one of the fakest shoes I&#39;ve ever seen! AF1 sole with a back end that juts out and a jordan logo?
I bought the CHEAPEST Tech in India!,@tanmaywagh1820,The roti was almost inedible dude... Nice video btw
I bought the CHEAPEST Tech in India!,@Himanshu-mf5yw,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=441"">7:21</a> why there is no kashmir in the map 😐"
I bought the CHEAPEST Tech in India!,@nothingabsolute6302,"But, all this cheap electronic stuff is made in China."
I bought the CHEAPEST Tech in India!,@Amazing-Questers,By the way why are your eyes red
I bought the CHEAPEST Tech in India!,@Amazing-Questers,Namaste
I bought the CHEAPEST Tech in India!,@ashasharmasharma8741,"The reason for the cheap prices,fake brands,and loads of advertising is because of inflation in the usa, thus the more it goes high the more cheaper it gets and the companys needing more money<br><br><br>Also to turn off the ad in the lock screen go to settings-wallpaper (or wallpaper carousel) and select &quot;turn off glance&quot; (glance which powers the advertisements) and for the widgets just uninstall galaxy store or hold the ad widgets and drag it to the the top deleting it."
I bought the CHEAPEST Tech in India!,@minimalisthealth,"You&#39;re giving 9/10 to those embarrassing Apple Watch clones with clear scams for sensors? Just reminded me of why I&#39;ve, for the most part, stopped clicking on your videos. Mostly click-baity rubbish with zero depth/critique whatsoever."
I bought the CHEAPEST Tech in India!,@Coolswags4life654,I am
I bought the CHEAPEST Tech in India!,@lungonion963,"oh shit, IFTTT plus the backpack and a bluetooth microphone for biking would be super slick. “siri, right; siri, left”"
I bought the CHEAPEST Tech in India!,@DangGina,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=525"">8:45</a> did you sleep that night?"
I bought the CHEAPEST Tech in India!,@Ktn853046,❤
I bought the CHEAPEST Tech in India!,@spicybananaleaf,Me
I bought the CHEAPEST Tech in India!,@arjun-qd3qu,that roti is raw.
I bought the CHEAPEST Tech in India!,@SubhashsSubu-lk1mp,Nama Bengaluru
I bought the CHEAPEST Tech in India!,@YusufLilani,Love mrwhosetheboss 😝😃
I bought the CHEAPEST Tech in India!,@arshdeepkumar,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=148"">2:28</a> main toh yhi ka hu yeh bahar ka hai"
I bought the CHEAPEST Tech in India!,@AbdulAhad-th8jd,I use the same case in gray
I bought the CHEAPEST Tech in India!,@marveledithub,Watching this in lava Agni 2 Mobile 😂❤
I bought the CHEAPEST Tech in India!,@ScrambleMedia,The blinkit app and services have blown my mind 🤝👏
